"bog","plantX","plantY"
"12M",651,9686
"12M",892,2203
"12M",936,2923
"12M",986,4871
"12M",1000,7000
"12M",1089,1080
"12M",1147,4425
"12M",1195,8799
"12M",1483,8085
"12M",1540,5357
"12M",1634,3867
"12M",1748,4757
"12M",1794,1245
"12M",1835,7095
"12M",1940,7896
"12M",1962,5897
"12M",2259,1750
"12M",2288,8722
"12M",2310,2887
"12M",2533,10173
"12M",2917,1914
"12M",3058,3160
"12M",3060,1104
"12M",3092,9631
"12M",3338,3964
"12M",3523,8170
"12M",3548,9621
"12M",3736,2314
"12M",3921,3014
"12M",4162,9240
"12M",4170,3477
"12M",4170,5294
"12M",4200,1275
"12M",4227,6040
"12M",4710,6990
"12M",4720,4010
"12M",4810,4938
"12M",4816,1046
"12M",4870,1925
"12M",4961,2992
"12M",5000,8910
"12M",5049,10276
"12M",5065,8262
"12M",5075,6423
"12M",5749,4145
"12M",5760,1992
"12M",5884,9681
"12M",5933,4687
"12M",5998,950
"12M",6000,5740
"12M",6056,8139
"12M",6079,3216
"12M",6155,6732
"12M",6330,9082
"12M",6493,10155
"12M",6735,2459
"12M",6924,2669
"12M",6955,8078
"12M",6993,6029
"12M",6999,6960
"12M",7033,1187
"12M",7114,844
"12M",7304,9597
"12M",7734,8953
"12M",7750,3000
"12M",7896,6922
"12M",8039,7991
"12M",8146,5878
"12M",8216,3921
"12M",8370,9987
"12M",8685,5873
"12M",8694,6579
"12M",8762,3127
"12M",8823,5347
"12M",8877,4132
"12M",9051,634
"12M",9098,8781
"12M",9212,10132
"12M",9226,8082
"12M",9563,5479
"12M",9586,3347
"12M",9860,995
"12M",9891,6987
"12M",9967,8062
"12M",10010,10059
"12M",10096,2263
"12M",10099,9010
"12M",10220,3862
"12M",10285,5093
"ARC",465,4075
"ARC",882,6197
"ARC",909,8972
"ARC",934,6947
"ARC",955,10111
"ARC",982,3057
"ARC",1000,2000
"ARC",1054,1045
"ARC",1154,7857
"ARC",1663,3041
"ARC",1715,10093
"ARC",1725,9658
"ARC",1790,8906
"ARC",1803,1072
"ARC",1894,7458
"ARC",2003,2050
"ARC",2053,7838
"ARC",2095,6074
"ARC",2102,4920
"ARC",2367,3902
"ARC",2490,4009
"ARC",2519,2733
"ARC",2734,1087
"ARC",2932,6087
"ARC",3025,2239
"ARC",3101,8097
"ARC",3136,8744
"ARC",3167,6933
"ARC",3287,5088
"ARC",3760,9008
"ARC",3771,3976
"ARC",4000,5000
"ARC",4024,2690
"ARC",4234,7114
"ARC",4316,6183
"ARC",4398,7732
"ARC",4409,3094
"ARC",4541,5371
"ARC",4574,6332
"ARC",4673,8826
"ARC",4857,4154
"ARC",4928,2965
"ARC",5166,7038
"ARC",5198,8212
"ARC",5342,3046
"ARC",5598,9431
"ARC",6000,4000
"ARC",6005,5140
"ARC",6054,5746
"ARC",6143,8044
"ARC",6204,3441
"ARC",6570,7010
"ARC",6849,6902
"ARC",6918,4126
"ARC",7000,10000
"ARC",7043,9061
"ARC",7187,5654
"ARC",7297,7835
"ARC",7356,5841
"ARC",7408,-255
"ARC",7704,3953
"ARC",7720,9825
"ARC",7869,5524
"ARC",8000,6000
"ARC",8065,2666
"ARC",8120,8208
"ARC",8125,8807
"ARC",8168,7157
"ARC",8682,8039
"ARC",8866,6913
"ARC",8910,2880
"ARC",8936,8842
"ARC",8980,2128
"ARC",9079,10216
"ARC",9147,6063
"ARC",9228,5467
"ARC",9531,3642
"ARC",9576,2439
"ARC",9824,3929
"ARC",9892,5242
"ARC",9902,5950
"ARC",9986,8129
"ARC",10000,3000
"ARC",10019,8881
"ARC",10146,7065
"ARC",10199,-254
"ARC",10259,10508
"BBB",-11,9088
"BBB",260,8026
"BBB",801,932
"BBB",850,4271
"BBB",1044,5054
"BBB",1079,2044
"BBB",1120,2928
"BBB",1256,6130
"BBB",1257,7464
"BBB",1717,7035
"BBB",1844,1964
"BBB",1924,5715
"BBB",1956,7933
"BBB",1979,3239
"BBB",2007,10128
"BBB",2081,3649
"BBB",2092,1039
"BBB",2142,5464
"BBB",2872,4020
"BBB",2914,6224
"BBB",2931,1902
"BBB",2941,3055
"BBB",3000,7000
"BBB",3064,1010
"BBB",3094,7779
"BBB",3113,4777
"BBB",3675,5901
"BBB",3891,786
"BBB",4000,7000
"BBB",4009,5090
"BBB",4047,4018
"BBB",4049,3230
"BBB",4072,7546
"BBB",4177,1823
"BBB",4742,5032
"BBB",4979,2923
"BBB",4982,5932
"BBB",4983,3990
"BBB",4997,1200
"BBB",5029,6993
"BBB",5050,1869
"BBB",5243,5614
"BBB",5300,8820
"BBB",5303,8229
"BBB",5580,9845
"BBB",5738,9145
"BBB",5781,3019
"BBB",5820,10062
"BBB",5845,779
"BBB",5954,1934
"BBB",5994,5120
"BBB",6011,3989
"BBB",6062,7820
"BBB",6157,7261
"BBB",6522,2958
"BBB",6832,6935
"BBB",6835,5297
"BBB",6966,783
"BBB",7066,2023
"BBB",7066,3977
"BBB",7099,9378
"BBB",7127,7941
"BBB",7208,5624
"BBB",7373,9495
"BBB",8007,920
"BBB",8059,7116
"BBB",8080,6060
"BBB",8087,4134
"BBB",8111,1933
"BBB",8138,5197
"BBB",8509,5426
"BBB",8658,9872
"BBB",8854,6966
"BBB",8909,4296
"BBB",8954,1066
"BBB",8969,10198
"BBB",9002,8870
"BBB",9033,2023
"BBB",9054,3203
"BBB",9310,7828
"BBB",9619,1562
"BBB",9623,6167
"BBB",9704,4047
"BBB",9717,9717
"BBB",9786,2951
"BBB",9851,6213
"BBB",9972,8178
"BBB",10026,8924
"BBB",10065,1241
"BBB",10069,6987
"BBB",10289,5025
"BCK",838,10763
"BCK",865,2636
"BCK",1339,3265
"BCK",1356,7050
"BCK",1357,3329
"BCK",1649,2719
"BCK",2373,8236
"BCK",2405,11413
"BCK",2522,1092
"BCK",2590,8723
"BCK",2731,972
"BCK",2811,2280
"BCK",3404,7869
"BCK",3584,3815
"BCK",3611,3870
"BCK",3685,7944
"BCK",4146,935
"BCK",4149,1481
"BCK",4444,4969
"BCK",4484,10717
"BCK",4940,2896
"BCK",4951,7093
"BCK",4959,7034
"BCK",5000,1000
"BCK",5109,1826
"BCK",5210,4045
"BCK",5330,5918
"BCK",5428,4861
"BCK",5746,4623
"BCK",5764,3416
"BCK",5819,8201
"BCK",5874,1099
"BCK",5886,1717
"BCK",6044,7251
"BCK",6188,5741
"BCK",6271,3197
"BCK",6426,8825
"BCK",7100,6530
"BCK",8158,1485
"BCK",10284,8940
"BEE",71,84
"BEE",129,47
"BEE",170,135
"BEE",217,228
"BEE",224,123
"BEE",245,83
"BEE",255,265
"BEE",257,6
"BEE",269,152
"BEE",278,311
"BEE",279,224
"BEE",300,263
"BEE",300,300
"BEE",323,250
"BEE",332,261
"BEE",336,274
"BEE",388,109
"BLK",244,6409
"BLK",873,5238
"BLK",1059,2992
"BLK",1235,3277
"BLK",1453,1647
"BLK",1709,8431
"BLK",1796,9463
"BLK",1842,4847
"BLK",1874,10031
"BLK",1928,2803
"BLK",2015,2420
"BLK",2022,6214
"BLK",2095,4491
"BLK",2286,1458
"BLK",2910,2488
"BLK",2931,1990
"BLK",3035,5166
"BLK",3050,10797
"BLK",3116,10822
"BLK",3619,4257
"BLK",3630,6889
"BLK",3702,3799
"BLK",3859,6382
"BLK",3900,6058
"BLK",3930,7334
"BLK",4111,4658
"BLK",4295,6189
"BLK",4749,4379
"BLK",4760,2008
"BLK",5030,3429
"BLK",5105,4260
"BLK",6237,515
"BLK",8113,1959
"BLK",10548,6843
"BOU",825,5956
"BOU",867,1957
"BOU",880,7000
"BOU",985,4026
"BOU",1017,8902
"BOU",1022,8033
"BOU",1030,5027
"BOU",1047,9963
"BOU",1119,2947
"BOU",1329,1120
"BOU",1833,1199
"BOU",1962,3941
"BOU",1985,10013
"BOU",1990,9028
"BOU",1991,6995
"BOU",2025,6239
"BOU",2041,7972
"BOU",2097,2087
"BOU",2126,4901
"BOU",2187,3117
"BOU",2965,9928
"BOU",2970,7001
"BOU",2979,6034
"BOU",2985,2068
"BOU",2986,9038
"BOU",3000,3000
"BOU",3003,8030
"BOU",3020,5003
"BOU",3045,1054
"BOU",3213,3914
"BOU",3837,4047
"BOU",3906,6129
"BOU",3963,9941
"BOU",3980,2000
"BOU",3982,992
"BOU",3995,7930
"BOU",4029,8991
"BOU",4034,3021
"BOU",4052,6953
"BOU",4344,5551
"BOU",4671,9276
"BOU",4941,1819
"BOU",4950,6049
"BOU",4953,6837
"BOU",4993,2800
"BOU",5000,7920
"BOU",5007,10200
"BOU",5028,904
"BOU",5338,5326
"BOU",5582,2956
"BOU",5865,4315
"BOU",5936,4923
"BOU",5970,7000
"BOU",6000,10000
"BOU",6014,8129
"BOU",6019,2108
"BOU",6035,4166
"BOU",6041,6091
"BOU",6231,8724
"BOU",6566,1411
"BOU",6921,2216
"BOU",6969,1359
"BOU",6992,5110
"BOU",7000,6000
"BOU",7000,8000
"BOU",7033,3963
"BOU",7040,9003
"BOU",7058,7069
"BOU",7069,2606
"BOU",7173,10100
"BOU",7755,1206
"BOU",7845,5779
"BOU",7923,3064
"BOU",7989,9870
"BOU",8000,2000
"BOU",8000,5000
"BOU",8000,7000
"BOU",8146,3878
"BOU",8160,8000
